"","True Classifier","Fitted Classifier","n","k","K","Balancing index","Fitting time","MeanPrecision","MicroPrecision","MacroPrecision","MacroRecall","MacroFscore"
"162","BooMix","Tree","Small","Small","Mid",0.318181818181818,0.017003059387207,0.96,0.92,0.90625,0.895833333333333,0.901011560693642
"163","BooMix","Tree","Small","Mid","Small",0.25,0.0190019607543945,0.88,0.88,0.934782608695652,0.7,0.800531914893617
"164","BooMix","Tree","Small","Mid","Mid",0.103448275862069,0.0200018882751465,0.91,0.64,NA,NA,NA
"165","BooMix","Tree","Mid","Small","Small",0.834862385321101,0.0360038280487061,0.908,0.908,0.906073082861554,0.909099747229244,0.90758389167764
"166","BooMix","Tree","Mid","Small","Mid",0.251552795031056,0.0340039730072021,0.885333333333333,0.656,NA,0.581854462047421,NA
"167","BooMix","Tree","Mid","Mid","Small",0.513742071881607,0.048983097076416,0.826666666666667,0.74,0.771617027063784,0.699722943187904,0.733913504842274
"168","BooMix","Tree","Mid","Mid","Mid",0.159090909090909,0.0630059242248535,0.892666666666667,0.356,NA,0.272990532751562,NA
"169","BooMix","Bag","Small","Small","Small",0.923076923076923,0.214923858642578,1,1,1,1,1
"170","BooMix","Bag","Small","Small","Mid",0.377777777777778,0.200030088424683,0.94,0.88,0.874007936507937,0.895833333333333,0.884786061285501
"171","BooMix","Bag","Small","Mid","Small",0.612903225806452,0.226014852523804,0.76,0.76,0.775,0.690972222222222,0.730577925153956
"172","BooMix","Bag","Small","Mid","Mid",0.238095238095238,0.24301815032959,0.9,0.6,NA,0.529166666666667,NA
"173","BooMix","Bag","Mid","Small","Small",0.964636542239686,2.68320202827454,0.948,0.948,0.944401444788442,0.952545155993432,0.948455819658437
"174","BooMix","Bag","Mid","Small","Mid",0.177111716621253,2.93921208381653,0.973333333333333,0.92,0.914730414164727,0.912888716560645,0.913808637420423
"175","BooMix","Bag","Mid","Mid","Small",0.284164859002169,3.63229393959045,0.904,0.856,0.838941299790356,0.807092952123378,0.822709016557583
"176","BooMix","Bag","Mid","Mid","Mid",0.0941704035874439,5.27540898323059,0.938,0.628,0.606338480994349,0.589716379168841,0.59791192774207
"177","BooMix","For","Small","Small","Small",0.818181818181818,0.0260028839111328,0.92,0.92,0.913194444444444,0.913194444444444,0.913194444444444
"178","BooMix","For","Small","Small","Mid",0.361702127659574,0.0270061492919922,0.98,0.96,0.983333333333333,0.95,0.966379310344828
"179","BooMix","For","Small","Mid","Small",0.36986301369863,0.0250189304351807,0.92,0.92,0.941176470588235,0.9,0.920127795527157
"180","BooMix","For","Small","Mid","Mid",0.136363636363636,0.0239908695220947,0.95,0.8,NA,NA,NA
"181","BooMix","For","Mid","Small","Small",0.773049645390071,0.274027824401855,0.956,0.956,0.955939440993789,0.955203152251147,0.955571154790792
